Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos trimestre anterior,KPI
2018,1,Catamarca,32.7936161374153,28.62,14.58
2018,2,Catamarca,32.8575008674866,32.79,0.19
2018,3,Catamarca,32.9159453741104,32.86,0.18
2018,4,Catamarca,32.2253461660253,32.92,-2.1
2019,1,Catamarca,32.1904889561213,32.23,-0.11
2019,2,Catamarca,32.1309502201928,32.19,-0.18
2019,3,Catamarca,30.8836145267372,32.13,-3.88
2019,4,Catamarca,36.4384291271555,30.88,17.99
2020,1,Catamarca,37.6154276874603,36.44,3.23
2020,2,Catamarca,45.4318181818182,37.62,20.78
2020,3,Catamarca,47.157098984172,45.43,3.8
2020,4,Catamarca,49.4068835454974,47.16,4.77
2021,1,Catamarca,48.8990929278482,49.41,-1.03
2021,2,Catamarca,52.3403096626386,48.9,7.04
2021,3,Catamarca,52.7097934860013,52.34,0.71
2021,4,Catamarca,55.2526999859741,52.71,4.82
2022,1,Catamarca,58.2063508356117,55.25,5.35
2022,2,Catamarca,62.4,58.21,7.2
2022,3,Catamarca,65.33,62.4,4.7
2022,4,Catamarca,65.77,65.33,0.67
2023,1,Catamarca,66.17,65.77,0.61
2023,2,Catamarca,67.42,66.17,1.89
2023,3,Catamarca,68.55,67.42,1.68
2023,4,Catamarca,68.63,68.55,0.12
2024,1,Catamarca,68.82,68.63,0.28
2024,2,Catamarca,68.81,68.82,-0.01
2014,1,Chaco,20.7185388638408,,0.0
2014,2,Chaco,20.9579963674944,20.72,1.16
2014,3,Chaco,21.1126667052624,20.96,0.74
2014,4,Chaco,21.8707832002322,21.11,3.59
2015,1,Chaco,26.6495912203056,21.87,21.85
2015,2,Chaco,27.4645393883995,26.65,3.06
2015,3,Chaco,27.9630727934794,27.46,1.82
2015,4,Chaco,28.3505662351414,27.96,1.39
2016,1,Chaco,28.0751464477524,28.35,-0.97
2016,2,Chaco,28.5935505552226,28.08,1.85
2016,3,Chaco,28.910749068481,28.59,1.11
2016,4,Chaco,28.7866560852553,28.91,-0.43
2017,1,Chaco,28.6216605384279,28.79,-0.57
2017,2,Chaco,29.0455247754534,28.62,1.48
2017,3,Chaco,29.9759256476576,29.05,3.2
2017,4,Chaco,30.8081581112365,29.98,2.78
2018,1,Chaco,30.8299276457025,30.81,0.07
2018,2,Chaco,31.2517049960349,30.83,1.37
2018,3,Chaco,32.2831008330776,31.25,3.3
2018,4,Chaco,32.5909608763298,32.28,0.95
2019,1,Chaco,32.6358765794295,32.59,0.14
2019,2,Chaco,34.1402609798676,32.64,4.61
2019,3,Chaco,35.8460309754608,34.14,5.0
2019,4,Chaco,36.8354786303424,35.85,2.76
2020,1,Chaco,37.4838333691726,36.84,1.76
2020,2,Chaco,39.8325027900658,37.48,6.27
2020,3,Chaco,41.5419205780652,39.83,4.29
2020,4,Chaco,43.0307886497791,41.54,3.58
2021,1,Chaco,43.1364924170879,43.03,0.25
2021,2,Chaco,43.3276272929354,43.14,0.44
2021,3,Chaco,42.9624100796766,43.33,-0.84
2021,4,Chaco,44.0485638902593,42.96,2.53
2022,1,Chaco,44.0594800994188,44.05,0.02
2022,2,Chaco,43.79,44.06,-0.61
2022,3,Chaco,43.86,43.79,0.16
2022,4,Chaco,43.62,43.86,-0.55
